"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"Early_InitAge_2" 27 "Early_InitAge_2" 0.0772206 13 2 -5 5 0 0 "act" 0.203427 4.54407e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_1" 28 "Early_InitAge_1" 0.098022 14 2 -5 5 0 0 "act" 0.204028 -6.45367e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1952" 29 "Main_RecrDev_1952" 0.132745 15 1 -5 5 0 0 "act" 0.200395 1.62514e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1953" 30 "Main_RecrDev_1953" 0.108346 16 1 -5 5 0 0 "act" 0.197207 1.05086e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1954" 31 "Main_RecrDev_1954" 0.0714867 17 1 -5 5 0 0 "act" 0.195071 6.88326e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1955" 32 "Main_RecrDev_1955" 0.0586135 18 1 -5 5 0 0 "act" 0.194294 -1.17947e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1956" 33 "Main_RecrDev_1956" 0.0730246 19 1 -5 5 0 0 "act" 0.195433 2.62916e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1957" 34 "Main_RecrDev_1957" 0.0994276 20 1 -5 5 0 0 "act" 0.197294 -1.60258e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1958" 35 "Main_RecrDev_1958" 0.11687 21 1 -5 5 0 0 "act" 0.196121 1.30687e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1959" 36 "Main_RecrDev_1959" 0.102739 22 1 -5 5 0 0 "act" 0.197022 6.58574e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1960" 37 "Main_RecrDev_1960" 0.118336 23 1 -5 5 0 0 "act" 0.194799 -3.40006e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1961" 38 "Main_RecrDev_1961" 0.0828006 24 1 -5 5 0 0 "act" 0.192061 5.50432e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1962" 39 "Main_RecrDev_1962" 0.0266651 25 1 -5 5 0 0 "act" 0.192921 -1.79935e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1963" 40 "Main_RecrDev_1963" 0.0245839 26 1 -5 5 0 0 "act" 0.192577 2.6576e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1964" 41 "Main_RecrDev_1964" 0.019128 27 1 -5 5 0 0 "act" 0.193148 4.29513e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1965" 42 "Main_RecrDev_1965" -0.00253012 28 1 -5 5 0 0 "act" 0.192154 1.41843e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1966" 43 "Main_RecrDev_1966" -0.0180694 29 1 -5 5 0 0 "act" 0.191937 -2.97139e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1967" 44 "Main_RecrDev_1967" -0.00725855 30 1 -5 5 0 0 "act" 0.192711 4.17834e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1968" 45 "Main_RecrDev_1968" 0.0138982 31 1 -5 5 0 0 "act" 0.191397 -2.89126e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1969" 46 "Main_RecrDev_1969" -0.00774918 32 1 -5 5 0 0 "act" 0.187024 1.33057e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1970" 47 "Main_RecrDev_1970" -0.0504077 33 1 -5 5 0 0 "act" 0.182585 -1.72024e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1971" 48 "Main_RecrDev_1971" -0.0353014 34 1 -5 5 0 0 "act" 0.183121 -1.02753e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1972" 49 "Main_RecrDev_1972" -0.0164929 35 1 -5 5 0 0 "act" 0.185987 2.32399e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1973" 50 "Main_RecrDev_1973" 0.012879 36 1 -5 5 0 0 "act" 0.183859 -2.33501e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1974" 51 "Main_RecrDev_1974" -0.0710088 37 1 -5 5 0 0 "act" 0.182676 -1.45503e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1975" 52 "Main_RecrDev_1975" -0.0943971 38 1 -5 5 0 0 "act" 0.180066 5.00449e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1976" 53 "Main_RecrDev_1976" -0.0297624 39 1 -5 5 0 0 "act" 0.176181 -9.43662e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1977" 54 "Main_RecrDev_1977" -0.0035479 40 1 -5 5 0 0 "act" 0.175473 -1.16093e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1978" 55 "Main_RecrDev_1978" 0.138876 41 1 -5 5 0 0 "act" 0.149187 2.11058e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1979" 56 "Main_RecrDev_1979" 0.110452 42 1 -5 5 0 0 "act" 0.150371 -1.49435e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1980" 57 "Main_RecrDev_1980" 0.179087 43 1 -5 5 0 0 "act" 0.133579 -1.4845e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1981" 58 "Main_RecrDev_1981" -0.234865 44 1 -5 5 0 0 "act" 0.146754 -4.90721e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1982" 59 "Main_RecrDev_1982" -0.0533838 45 1 -5 5 0 0 "act" 0.135273 2.99064e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1983" 60 "Main_RecrDev_1983" -0.198448 46 1 -5 5 0 0 "act" 0.143732 -7.38366e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1984" 61 "Main_RecrDev_1984" -0.212226 47 1 -5 5 0 0 "act" 0.13979 8.44787e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1985" 62 "Main_RecrDev_1985" -0.46819 48 1 -5 5 0 0 "act" 0.148159 1.01333e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1986" 63 "Main_RecrDev_1986" -0.153702 49 1 -5 5 0 0 "act" 0.171366 -9.87863e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1987" 64 "Main_RecrDev_1987" 0.35526 50 1 -5 5 0 0 "act" 0.143426 2.28268e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1988" 65 "Main_RecrDev_1988" 0.0171291 51 1 -5 5 0 0 "act" 0.166558 -2.56636e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1989" 66 "Main_RecrDev_1989" -0.125174 52 1 -5 5 0 0 "act" 0.163885 7.74184e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1990" 67 "Main_RecrDev_1990" -0.125681 53 1 -5 5 0 0 "act" 0.173117 -6.20816e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1991" 68 "Main_RecrDev_1991" 0.0432545 54 1 -5 5 0 0 "act" 0.179302 -1.11893e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1992" 69 "Main_RecrDev_1992" 0.227581 55 1 -5 5 0 0 "act" 0.178707 3.93606e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1993" 70 "Main_RecrDev_1993" 0.194713 56 1 -5 5 0 0 "act" 0.177043 2.32904e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1994" 71 "Main_RecrDev_1994" 0.0261093 57 1 -5 5 0 0 "act" 0.166823 -7.83309e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1995" 72 "Main_RecrDev_1995" -0.010961 58 1 -5 5 0 0 "act" 0.16358 -1.9493e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1996" 73 "Main_RecrDev_1996" 0.69145 59 1 -5 5 0 0 "act" 0.0986079 -3.44604e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1997" 74 "Main_RecrDev_1997" 0.119721 60 1 -5 5 0 0 "act" 0.124823 5.27183e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1998" 75 "Main_RecrDev_1998" 0.419139 61 1 -5 5 0 0 "act" 0.0965224 -3.04563e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1999" 76 "Main_RecrDev_1999" 0.278982 62 1 -5 5 0 0 "act" 0.0984753 5.08421e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2000" 77 "Main_RecrDev_2000" -0.381201 63 1 -5 5 0 0 "act" 0.128897 1.03646e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2001" 78 "Main_RecrDev_2001" 0.32041 64 1 -5 5 0 0 "act" 0.0977317 -8.15681e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2002" 79 "Main_RecrDev_2002" -0.150179 65 1 -5 5 0 0 "act" 0.140804 3.99557e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2003" 80 "Main_RecrDev_2003" -0.0143331 66 1 -5 5 0 0 "act" 0.143526 -3.94907e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2004" 81 "Main_RecrDev_2004" 0.019697 67 1 -5 5 0 0 "act" 0.147564 -1.22075e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2005" 82 "Main_RecrDev_2005" -0.144848 68 1 -5 5 0 0 "act" 0.155978 -1.43975e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2006" 83 "Main_RecrDev_2006" 0.0642039 69 1 -5 5 0 0 "act" 0.156341 1.75286e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2007" 84 "Main_RecrDev_2007" 0.0137055 70 1 -5 5 0 0 "act" 0.156965 1.21426e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2008" 85 "Main_RecrDev_2008" -0.081413 71 1 -5 5 0 0 "act" 0.15225 -8.8338e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2009" 86 "Main_RecrDev_2009" -0.171097 72 1 -5 5 0 0 "act" 0.153334 1.65942e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2010" 87 "Main_RecrDev_2010" -0.218029 73 1 -5 5 0 0 "act" 0.139591 -2.0652e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2011" 88 "Main_RecrDev_2011" -0.246576 74 1 -5 5 0 0 "act" 0.136601 -8.47364e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2012" 89 "Main_RecrDev_2012" -0.254834 75 1 -5 5 0 0 "act" 0.129188 -1.15696e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2013" 90 "Main_RecrDev_2013" -0.00783466 76 1 -5 5 0 0 "act" 0.113114 -4.06397e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2014" 91 "Main_RecrDev_2014" -0.265862 77 1 -5 5 0 0 "act" 0.112468 9.91587e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2015" 92 "Main_RecrDev_2015" -0.160955 78 1 -5 5 0 0 "act" 0.107154 -2.54507e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2016" 93 "Main_RecrDev_2016" -0.100232 79 1 -5 5 0 0 "act" 0.117024 3.46868e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2017" 94 "Main_RecrDev_2017" -0.138572 80 1 -5 5 0 0 "act" 0.122994 -2.31104e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2018" 95 "Main_RecrDev_2018" -0.374735 81 1 -5 5 0 0 "act" 0.117654 4.67127e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2019" 96 "Main_RecrDev_2019" -0.0485128 82 1 -5 5 0 0 "act" 0.121168 -7.32639e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2020" 97 "Main_RecrDev_2020" 0.327547 83 1 -5 5 0 0 "act" 0.150904 3.70548e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2021" 98 "Main_RecrDev_2021" 0.0695115 84 1 -5 5 0 0 "act" 0.179346 6.27381e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
